Day, Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O,
4, 21,  2, 260, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 21,  1, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
6, 21,  1, 3600, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,
7, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 22,  9, 8250, 2, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,
3, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 22,  1, 1875, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 22,  1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
7, 22,  3, 450, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 23,  8, 6255, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6,
3, 23,  1, 3600, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,
4, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 23,  3, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3,
6, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 24,  3, 10800, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
5, 24,  8, 1200, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0,
6, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 24,  3, 450, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0,
1, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
2, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
3, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
4, 25,  6, 3225, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4,
5, 25,  3, 450, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0,
6, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
7, 25,  7, 1050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7,
